pmid,pmcid,doi,title,year,xml_path,source_url
nan,PMC4136787,nan,Mice in Bion-M 1 space mission: training and selection,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC4136787.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4136787/
nan,PMC3630201,nan,"Microgravity induces pelvic bone loss through osteoclastic activity, osteocytic osteolysis, and osteoblastic cell cycle inhibition by CDKN1a/p21",,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC3630201.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3630201/
nan,PMC11988870,nan,Stem Cell Health and Tissue Regeneration in Microgravity,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC11988870.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11988870/
nan,PMC7998608,nan,Microgravity Reduces the Differentiation and Regenerative Potential of Embryonic Stem Cells,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC7998608.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7998608/
nan,PMC5587110,nan,Microgravity validation of a novel system for RNA isolation and multiplex quantitative real time PCR analysis of gene expression on the International Space Station,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC5587110.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5587110/
nan,PMC8396460,nan,Spaceflight Modulates the Expression of Key Oxidative Stress and Cell Cycle Related Genes in Heart,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC8396460.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8396460/
nan,PMC5666799,nan,Dose- and Ion-Dependent Effects in the Oxidative Stress Response to Space-Like Radiation Exposure in the Skeletal System,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC5666799.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5666799/
nan,PMC5460236,nan,From the bench to exploration medicine: NASA life sciences translational research for human exploration and habitation missions.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC5460236.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5460236/
nan,PMC6222041,nan,High-precision method for cyclic loading of small-animal vertebrae to assess bone quality.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC6222041.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6222041/
nan,PMC6813909,nan,Effects of ex vivo ionizing radiation on collagen structure and whole-bone mechanical properties of mouse vertebrae.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC6813909.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6813909/
nan,PMC4095884,nan,Absence of gamma-sarcoglycan alters the response of p70S6 kinase to mechanical perturbation in murine skeletal muscle,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC4095884.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095884/
nan,PMC3040128,nan,AtRabD2b and AtRabD2c have overlapping functions in pollen development and pollen tube growth.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC3040128.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3040128/
nan,PMC3177255,nan,TNO1 is involved in salt tolerance and vacuolar trafficking in Arabidopsis.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC3177255.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3177255/
nan,PMC11500582,nan,Functional redundancy between trans-Golgi network SNARE family members in Arabidopsis thaliana.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC11500582.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11500582/
nan,PMC5387210,nan,Root growth movements: Waving and skewing.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC5387210.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/
nan,PMC4642138,nan,Gravitropism and lateral root emergence are dependent on the trans-Golgi network protein TNO1,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC4642138.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4642138/
nan,PMC5387210,nan,"TNO1, a TGN-localized SNARE-interacting protein, modulates root skewing in Arabidopsis thaliana.",,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC5387210.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5387210/
nan,PMC2915878,nan,The Drosophila SUN protein Spag4 cooperates with the coiled-coil protein Yuri Gagarin to maintain association of the basal body and spermatid nucleus.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC2915878.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2915878/
nan,PMC3901686,nan,Toll mediated infection response is altered by gravity and spaceflight in Drosophila,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC3901686.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901686/
nan,PMC6985101,nan,Multi-omics analysis of multiple missions to space reveal a theme of lipid dysregulation in mouse liver,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC6985101.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6985101/
nan,PMC6387434,nan,GeneLab database analyses suggest long-term impact of space radiation on the cardiovascular system by the activation of FYN through reactive oxygen species.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC6387434.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6387434/
nan,PMC6371294,nan,FAIRness and usability for open-access omics data systems.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC6371294.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6371294/
nan,PMC7072278,nan,NASA GeneLab platform utilized for biological response to space radiation in animal models,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC7072278.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072278/
nan,PMC8441986,nan,Circulating miRNA spaceflight signature reveals targets for countermeasure development,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC8441986.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8441986/
nan,PMC9400218,nan,Machine learning algorithm to characterize antimicrobial resistance associated with the International Space Station surface microbiome,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC9400218.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9400218/
nan,PMC9267413,nan,Extraterrestrial Gynecology: Could Spaceflight Increase the Risk of Developing Cancer in Female Astronauts? An Updated Review,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC9267413.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9267413/
nan,PMC9576569,nan,Muscle atrophy phenotype gene expression during spaceflight is linked to a metabolic crosstalk in both the liver and the muscle in mice.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC9576569.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9576569/
nan,PMC10789781,nan,Chromosomal positioning and epigenetic architecture influence DNA methylation patterns triggered by galactic cosmic radiation,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC10789781.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10789781/
nan,PMC10772081,nan,"A comprehensive SARS-CoV-2 and COVID-19 review, Part 2: Host extracellular to systemic effects of SARS-CoV-2 infection",,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC10772081.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10772081/
nan,PMC11166946,nan,Aging and putative frailty biomarkers are altered by spaceflight,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC11166946.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166946/
nan,PMC11166944,nan,Space radiation damage rescued by inhibition of key spaceflight associated miRNAs,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC11166944.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166944/
nan,PMC11166968,nan,Ethical considerations for the age of non-governmental space exploration,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC11166968.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11166968/
nan,PMC7000411,nan,Innate immune responses of Drosophila melanogaster are altered by spaceflight.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC7000411.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000411/
nan,PMC7787258,nan,Prolonged Exposure to Microgravity Reduces Cardiac Contractility and Initiates Remodeling in Drosophila,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC7787258.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7787258/
nan,PMC8716943,nan,Regulation of plant gravity sensing and signaling by the actin cytoskeleton.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC8716943.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8716943/
nan,PMC4826010,nan,HLB1 Is a Tetratricopeptide Repeat Domain-Containing Protein That Operates at the Intersection of the Exocytic and Endocytic Pathways at the TGN/EE in Arabidopsis,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC4826010.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4826010/
nan,PMC6048781,nan,ERULUS is a plasma membrane-localized receptor-like kinase that specifies root hair growth by maintaining tip-focused cytoplasmic calcium oscillations.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC6048781.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6048781/
nan,PMC7010715,nan,Brassinosteroids inhibit autotropic root straightening by modifying filamentous-actin organization and dynamics.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC7010715.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7010715/
nan,PMC7503278,nan,Cell type-specific imaging of calcium signaling in Arabidopsis thaliana seedling roots using GCaMP3.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC7503278.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7503278/
nan,PMC8364238,nan,Spatial and temporal localization of SPIRRIG and WAVE/SCAR reveal roles for these proteins in actin-mediated root hair development.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC8364238.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8364238/
nan,PMC11579474,nan,Microgravity Stress: Bone and Connective Tissue,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC11579474.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11579474/
nan,PMC2998437,nan,S. aureus MscL is a pentamer in vivo but of variable stoichiometries in vitro: implications for detergent-solubilized membrane proteins,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC2998437.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2998437/
nan,PMC3005423,nan,Manipulating the permeation of charged compounds through the MscL nanovalve.,,C:\Users\hj045\OneDrive\Desktop\test34\outputs\pmc_xml\PMC3005423.xml,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3005423/
